"Data e HoraObservação","QNH (hPa)","QFE (hPa)","QFF (hPa)","Tendência da Pressão(conforme ICA 105-16)","Alt850hpa"
"18/05/2024 - 13:00:00","1023,5","1014,1","-","-","-"
"18/05/2024 - 14:00:00","1023,8","1014,4","-","-","-"
"18/05/2024 - 15:00:00","1023,4","1014,0","1023,5","8","-"
"18/05/2024 - 16:00:00","1022,8","1013,4","-","-","-"
"18/05/2024 - 17:00:00","1022,5","1013,1","-","-","-"
"18/05/2024 - 18:00:00","1022,2","1012,8","1022,3","7","-"
"18/05/2024 - 19:00:00","1021,9","1012,5","-","-","-"
"18/05/2024 - 20:00:00","1022,0","1012,6","-","-","-"
"18/05/2024 - 21:00:00","1022,2","1012,8","1022,4","3","-"
"18/05/2024 - 22:00:00","1022,6","1013,2","-","-","-"
"19/05/2024 - 09:00:00","1024,3","1014,9","1024,5","0","-"
"19/05/2024 - 11:00:00","1024,8","1015,4","-","-","-"
"19/05/2024 - 12:00:00","1025,3","1015,8","1025,4","3","-"
"19/05/2024 - 13:00:00","1025,2","1015,7","-","-","-"
"19/05/2024 - 14:00:00","1025,5","1016,0","-","-","-"
"19/05/2024 - 15:00:00","1024,6","1015,2","1024,8","0","-"
"19/05/2024 - 16:00:00","1023,9","1014,5","-","-","-"
"19/05/2024 - 17:00:00","1023,2","1013,8","-","-","-"
"19/05/2024 - 18:00:00","1022,9","1013,5","1023,1","7","-"
"19/05/2024 - 19:00:00","1022,8","1013,4","-","-","-"
"19/05/2024 - 20:00:00","1022,8","1013,4","-","-","-"
"19/05/2024 - 21:00:00","1022,9","1013,5","1023,1","0","-"
"19/05/2024 - 22:00:00","1023,3","1013,9","-","-","-"
"20/05/2024 - 09:00:00","1021,7","1012,3","1021,8","7","-"
"20/05/2024 - 10:00:00","1022,1","1012,7","-","-","-"
"20/05/2024 - 11:00:00","1022,3","1012,9","-","-","-"
"20/05/2024 - 12:00:00","1023,0","1013,6","1023,2","2","-"
"20/05/2024 - 13:00:00","1022,5","1013,1","-","-","-"
"20/05/2024 - 14:00:00","1022,8","1013,4","-","-","-"
"20/05/2024 - 15:00:00","1021,8","1012,4","1021,9","8","-"
"20/05/2024 - 16:00:00","1020,4","1011,0","-","-","-"
"20/05/2024 - 17:00:00","1019,0","1009,6","-","-","-"
"20/05/2024 - 18:00:00","1017,8","1008,4","1017,9","7","-"
"20/05/2024 - 19:00:00","1017,1","1007,7","-","-","-"
"20/05/2024 - 20:00:00","1016,6","1007,2","-","-","-"
"20/05/2024 - 21:00:00","1016,7","1007,3","1016,8","6","-"
"20/05/2024 - 22:00:00","1016,9","1007,5","-","-","-"
"21/05/2024 - 09:00:00","1015,2","1005,8","1015,2","5","-"
"21/05/2024 - 10:00:00","1015,9","1006,5","-","-","-"
"21/05/2024 - 11:00:00","1016,5","1007,1","-","-","-"
"21/05/2024 - 12:00:00","1016,9","1007,5","1017,0","2","-"
"21/05/2024 - 15:00:00","1016,8","1007,4","1016,8","8","-"
"21/05/2024 - 16:00:00","1015,8","1006,4","-","-","-"
"21/05/2024 - 17:00:00","1014,7","1005,3","-","-","-"
"21/05/2024 - 18:00:00","1014,0","1004,7","1014,1","7","-"
"21/05/2024 - 19:00:00","1013,4","1004,1","-","-","-"
"21/05/2024 - 20:00:00","1013,5","1004,2","-","-","-"
"21/05/2024 - 21:00:00","1013,7","1004,4","1013,7","5","-"
"21/05/2024 - 22:00:00","1013,3","1004,0","-","-","-"
"22/05/2024 - 09:00:00","1011,3","1002,0","1011,3","7","-"
"22/05/2024 - 10:00:00","1012,1","1002,8","-","-","-"
"22/05/2024 - 11:00:00","1012,5","1003,2","-","-","-"
"22/05/2024 - 12:00:00","1012,4","1003,1","1012,4","1","-"
"22/05/2024 - 13:00:00","1012,3","1003,0","-","-","-"
"22/05/2024 - 14:00:00","1011,8","1002,5","-","-","-"
"22/05/2024 - 15:00:00","1009,8","1000,5","1009,7","8","-"
"22/05/2024 - 16:00:00","1008,4","999,1","-","-","-"
"22/05/2024 - 16:05:00","1008,8","999,5","-","-","-"
"22/05/2024 - 17:00:00","1007,2","997,9","-","-","-"
"22/05/2024 - 18:00:00","1007,3","998,0","1007,2","6","-"
"22/05/2024 - 19:00:00","1008,1","998,8","-","-","-"
"22/05/2024 - 20:00:00","1009,9","1000,6","-","-","-"
"22/05/2024 - 20:18:00","1010,1","1000,8","-","-","-"
"22/05/2024 - 20:31:00","1009,5","1000,2","-","-","-"
"22/05/2024 - 22:00:00","1009,8","1000,5","-","-","-"
"23/05/2024 - 09:00:00","1009,4","1000,1","1009,4","7","-"
"23/05/2024 - 09:06:00","1010,3","1001,0","-","-","-"
"23/05/2024 - 10:00:00","1010,7","1001,4","-","-","-"
"23/05/2024 - 10:46:00","1010,8","1001,5","-","-","-"
"23/05/2024 - 11:00:00","1010,7","1001,4","-","-","-"
"23/05/2024 - 11:39:00","1011,4","1002,1","-","-","-"
"23/05/2024 - 12:00:00","1010,6","1001,3","1010,6","1","-"
"23/05/2024 - 13:00:00","1010,7","1001,4","-","-","-"
"23/05/2024 - 14:00:00","1010,8","1001,5","-","-","-"
"23/05/2024 - 14:23:00","1010,9","1001,6","-","-","-"
"23/05/2024 - 15:00:00","1011,6","1002,3","1011,7","3","-"
"23/05/2024 - 16:00:00","1010,7","1001,4","-","-","-"
"23/05/2024 - 17:00:00","1009,3","1000,0","-","-","-"
"23/05/2024 - 18:00:00","1009,9","1000,6","1009,9","5","-"
"23/05/2024 - 19:00:00","1010,9","1001,6","-","-","-"
"23/05/2024 - 19:00:00","1010,3","1001,0","-","-","-"
"23/05/2024 - 20:00:00","1010,3","1001,0","-","-","-"
"23/05/2024 - 21:00:00","1010,9","1001,6","1010,9","2","-"
"23/05/2024 - 22:00:00","1011,5","1002,2","-","-","-"
"24/05/2024 - 09:00:00","1016,4","1007,0","1016,4","3","-"
"24/05/2024 - 10:00:00","1018,1","1008,7","-","-","-"
"24/05/2024 - 11:00:00","1019,7","1010,3","-","-","-"
"24/05/2024 - 12:00:00","1020,5","1011,1","1020,6","2","-"
"24/05/2024 - 13:00:00","1021,8","1012,4","-","-","-"
"24/05/2024 - 14:00:00","1022,5","1013,1","-","-","-"
"24/05/2024 - 15:00:00","1022,7","1013,3","1022,8","2","-"
"24/05/2024 - 16:00:00","1022,6","1013,2","-","-","-"
"24/05/2024 - 17:00:00","1022,1","1012,7","-","-","-"
"24/05/2024 - 18:00:00","1022,3","1012,9","1022,4","5","-"
"24/05/2024 - 19:00:00","1022,5","1013,1","-","-","-"
"24/05/2024 - 20:00:00","1022,5","1013,1","-","-","-"
"24/05/2024 - 21:00:00","1023,6","1014,2","1023,8","3","-"
"24/05/2024 - 22:00:00","1023,9","1014,5","-","-","-"
"25/05/2024 - 09:00:00","1027,4","1017,9","1027,6","5","-"
"25/05/2024 - 10:00:00","1028,4","1018,9","-","-","-"
"25/05/2024 - 11:00:00","1029,1","1019,6","-","-","-"
"25/05/2024 - 12:00:00","1029,5","1020,0","1029,8","2","-"
"25/05/2024 - 13:00:00","1029,7","1020,2","-","-","-"
"25/05/2024 - 14:00:00","1029,7","1020,2","-","-","-"
"25/05/2024 - 15:00:00","1029,1","1019,6","1029,3","8","-"
"25/05/2024 - 16:00:00","1028,5","1019,0","-","-","-"
"25/05/2024 - 17:00:00","1027,8","1018,3","-","-","-"
"25/05/2024 - 18:00:00","1027,3","1017,8","1027,5","7","-"
"25/05/2024 - 19:00:00","1027,6","1018,1","-","-","-"
"25/05/2024 - 20:00:00","1027,8","1018,3","-","-","-"
"25/05/2024 - 21:00:00","1027,9","1018,4","1028,1","2","-"
"25/05/2024 - 22:00:00","1028,1","1018,6","-","-","-"
"26/05/2024 - 09:00:00","1027,3","1017,8","1027,5","5","-"
"26/05/2024 - 10:00:00","1027,4","1017,9","-","-","-"
"26/05/2024 - 11:00:00","1027,6","1018,1","-","-","-"
"26/05/2024 - 12:00:00","1027,5","1018,0","1027,7","1","-"
"26/05/2024 - 13:00:00","1027,9","1018,4","-","-","-"
"26/05/2024 - 14:00:00","1027,6","1018,1","-","-","-"
"26/05/2024 - 15:00:00","1027,2","1017,7","1027,3","8","-"
"26/05/2024 - 16:00:00","1026,2","1016,7","-","-","-"
"26/05/2024 - 17:00:00","1024,5","1015,1","-","-","-"
"26/05/2024 - 18:00:00","1023,8","1014,4","1024,0","7","-"
"26/05/2024 - 19:00:00","1023,4","1014,0","-","-","-"
"26/05/2024 - 20:00:00","1023,1","1013,7","-","-","-"
"26/05/2024 - 21:00:00","1023,5","1014,1","1023,7","5","-"
"26/05/2024 - 22:00:00","1023,9","1014,5","-","-","-"
"27/05/2024 - 09:00:00","1022,4","1013,0","1022,6","6","-"
"27/05/2024 - 10:00:00","1022,9","1013,5","-","-","-"
"27/05/2024 - 11:00:00","1023,4","1014,0","-","-","-"
"27/05/2024 - 12:00:00","1023,9","1014,5","1024,1","2","-"
"27/05/2024 - 13:00:00","1024,3","1014,9","-","-","-"
"27/05/2024 - 14:00:00","1024,5","1015,1","-","-","-"
"27/05/2024 - 16:00:00","1023,6","1014,2","-","-","-"
"27/05/2024 - 17:00:00","1023,1","1013,7","-","-","-"
"27/05/2024 - 18:00:00","1022,5","1013,1","1022,7","7","-"
"27/05/2024 - 19:00:00","1022,7","1013,3","-","-","-"
"27/05/2024 - 20:00:00","1023,3","1013,9","-","-","-"
"27/05/2024 - 21:00:00","1023,5","1014,1","1023,7","1","-"
"27/05/2024 - 22:00:00","1023,9","1014,5","-","-","-"
"28/05/2024 - 09:00:00","1022,7","1013,3","1022,9","8","-"
"28/05/2024 - 10:00:00","1023,7","1014,3","-","-","-"
"28/05/2024 - 11:00:00","1024,3","1014,9","-","-","-"
"28/05/2024 - 12:00:00","1024,6","1015,2","1024,8","1","-"
"28/05/2024 - 13:00:00","1025,6","1016,1","-","-","-"
"28/05/2024 - 14:00:00","1025,8","1016,3","-","-","-"
"28/05/2024 - 15:00:00","1025,9","1016,4","1026,0","1","-"
"28/05/2024 - 16:00:00","1025,8","1016,3","-","-","-"
"28/05/2024 - 17:00:00","1025,0","1015,6","-","-","-"
"28/05/2024 - 18:00:00","1024,6","1015,2","1024,8","8","-"
"28/05/2024 - 19:00:00","1024,4","1015,0","-","-","-"
"28/05/2024 - 20:00:00","1024,8","1015,4","-","-","-"
"28/05/2024 - 21:00:00","1025,2","1015,7","1025,3","3","-"
"29/05/2024 - 09:00:00","1025,2","1015,7","1025,2","5","-"
"29/05/2024 - 10:00:00","1025,2","1015,7","-","-","-"
"29/05/2024 - 11:00:00","1025,8","1016,3","-","-","-"
"29/05/2024 - 12:00:00","1026,0","1016,5","1026,1","3","-"
"29/05/2024 - 13:00:00","1026,6","1017,1","-","-","-"
"29/05/2024 - 14:00:00","1024,0","1014,6","-","-","-"
"29/05/2024 - 15:00:00","1027,1","1017,6","1027,1","3","-"
"29/05/2024 - 16:00:00","1026,5","1017,0","-","-","-"
"29/05/2024 - 17:00:00","1025,7","1016,2","-","-","-"
"29/05/2024 - 18:00:00","1024,7","1015,3","1024,8","7","-"
"29/05/2024 - 19:00:00","1023,9","1014,5","-","-","-"
"29/05/2024 - 20:00:00","1023,8","1014,4","-","-","-"
"29/05/2024 - 21:00:00","1023,9","1014,5","1024,0","6","-"
"29/05/2024 - 22:00:00","1024,0","1014,6","-","-","-"
"30/05/2024 - 09:00:00","1023,1","1013,7","1023,2","5","-"
"30/05/2024 - 10:00:00","1023,5","1014,1","-","-","-"
"30/05/2024 - 11:00:00","1023,8","1014,4","-","-","-"
"30/05/2024 - 12:00:00","1024,5","1015,1","1024,6","2","-"
"30/05/2024 - 13:00:00","1024,5","1015,1","-","-","-"
"30/05/2024 - 14:00:00","1024,6","1015,2","-","-","-"
"30/05/2024 - 15:00:00","1023,8","1014,4","1023,9","8","-"
"30/05/2024 - 16:00:00","1023,3","1013,9","-","-","-"
"30/05/2024 - 17:00:00","1022,4","1013,0","-","-","-"
"30/05/2024 - 18:00:00","1021,9","1012,5","1021,9","7","-"
"30/05/2024 - 19:00:00","1022,2","1012,8","-","-","-"
"30/05/2024 - 20:00:00","1021,8","1012,4","-","-","-"
"30/05/2024 - 21:00:00","1021,9","1012,5","1022,0","5","-"
"30/05/2024 - 22:00:00","1022,2","1012,8","-","-","-"
"31/05/2024 - 09:00:00","1020,9","1011,5","1021,0","3","-"
"31/05/2024 - 10:00:00","1022,0","1012,6","-","-","-"
"31/05/2024 - 11:00:00","1022,5","1013,1","-","-","-"
"31/05/2024 - 13:00:00","1022,2","1012,8","-","-","-"
"31/05/2024 - 14:00:00","1022,1","1012,7","-","-","-"
"31/05/2024 - 15:00:00","1021,3","1011,9","1021,3","8","-"
"31/05/2024 - 16:00:00","1020,4","1011,0","-","-","-"
"31/05/2024 - 17:00:00","1019,6","1010,2","-","-","-"
"31/05/2024 - 18:00:00","1019,0","1009,6","1019,0","7","-"
"31/05/2024 - 19:00:00","1018,4","1009,0","-","-","-"
"31/05/2024 - 20:00:00","1018,2","1008,8","-","-","-"
"31/05/2024 - 21:00:00","1017,8","1008,4","1017,8","7","-"
"31/05/2024 - 22:00:00","1017,4","1008,0","-","-","-"
"01/06/2024 - 09:00:00","1016,5","1007,1","1016,5","8","-"
"01/06/2024 - 10:00:00","1017,0","1007,6","-","-","-"
"01/06/2024 - 11:00:00","1017,6","1008,2","-","-","-"
"01/06/2024 - 12:00:00","1018,1","1008,7","1018,1","2","-"
"01/06/2024 - 13:00:00","1017,9","1008,5","-","-","-"
"01/06/2024 - 14:00:00","1017,7","1008,3","-","-","-"
"01/06/2024 - 15:00:00","1017,3","1007,9","1017,2","7","-"
"01/06/2024 - 16:00:00","1016,7","1007,3","-","-","-"
"01/06/2024 - 17:00:00","1015,4","1006,0","-","-","-"
"01/06/2024 - 18:00:00","1014,8","1005,4","1014,7","7","-"
"01/06/2024 - 19:00:00","1014,5","1005,1","-","-","-"
"01/06/2024 - 20:00:00","1014,0","1004,7","-","-","-"
"01/06/2024 - 21:00:00","1014,5","1005,1","1014,4","3","-"
"01/06/2024 - 22:00:00","1014,8","1005,4","-","-","-"
"02/06/2024 - 09:00:00","1014,0","1004,7","1014,0","0","-"
"02/06/2024 - 10:00:00","1015,0","1005,6","-","-","-"
"02/06/2024 - 11:00:00","1014,4","1005,0","-","-","-"
"02/06/2024 - 12:00:00","1015,0","1005,6","1014,9","5","-"
"02/06/2024 - 13:00:00","1015,0","1005,6","-","-","-"
"02/06/2024 - 14:00:00","1015,5","1006,1","-","-","-"
"02/06/2024 - 15:00:00","1015,5","1006,1","1015,3","1","-"
"02/06/2024 - 16:00:00","1015,0","1005,6","-","-","-"
"02/06/2024 - 17:00:00","1013,9","1004,6","-","-","-"
"02/06/2024 - 18:00:00","1013,4","1004,1","1013,2","7","-"
"02/06/2024 - 19:00:00","1013,0","1003,7","-","-","-"
"02/06/2024 - 20:00:00","1013,1","1003,8","-","-","-"
"02/06/2024 - 21:00:00","1013,6","1004,3","1013,5","2","-"
"02/06/2024 - 22:00:00","1014,4","1005,0","-","-","-"
"03/06/2024 - 09:00:00","1025,7","1016,2","1025,6","2","-"
"03/06/2024 - 10:00:00","1026,5","1017,0","-","-","-"
"03/06/2024 - 11:00:00","1027,4","1017,9","-","-","-"
"03/06/2024 - 12:00:00","1028,2","1018,7","1028,2","2","-"
"03/06/2024 - 13:00:00","1029,0","1019,5","-","-","-"
"03/06/2024 - 15:00:00","1029,1","1019,6","1029,1","0","-"
"03/06/2024 - 16:00:00","1028,3","1018,8","-","-","-"
"03/06/2024 - 17:00:00","1027,4","1017,9","-","-","-"
"03/06/2024 - 18:00:00","1027,0","1017,5","1027,0","7","-"
"03/06/2024 - 19:00:00","1026,5","1017,0","-","-","-"
"03/06/2024 - 20:00:00","1026,4","1016,9","-","-","-"
"03/06/2024 - 21:00:00","1026,0","1016,5","1026,1","8","-"
"03/06/2024 - 22:00:00","1025,9","1016,4","-","-","-"
"04/06/2024 - 09:00:00","1023,3","1013,9","1023,5","7","-"
"04/06/2024 - 10:00:00","1023,2","1013,8","-","-","-"
"04/06/2024 - 11:00:00","1023,3","1013,9","-","-","-"
"04/06/2024 - 12:00:00","1024,1","1014,7","1024,3","3","-"
"04/06/2024 - 14:00:00","1024,1","1014,7","-","-","-"
"04/06/2024 - 15:00:00","1023,3","1013,9","1023,5","8","-"
"04/06/2024 - 16:00:00","1022,2","1012,8","-","-","-"
"04/06/2024 - 17:00:00","1021,6","1012,2","-","-","-"
"04/06/2024 - 18:00:00","1020,4","1011,0","1020,4","7","-"
"04/06/2024 - 19:00:00","1020,4","1011,0","-","-","-"
"04/06/2024 - 20:00:00","1019,9","1010,5","-","-","-"
"04/06/2024 - 21:00:00","1019,9","1010,5","1020,0","6","-"
"04/06/2024 - 22:00:00","1020,1","1010,7","-","-","-"
"05/06/2024 - 09:00:00","1017,9","1008,5","1017,9","0","-"
"05/06/2024 - 10:00:00","1017,8","1008,4","-","-","-"
"05/06/2024 - 11:00:00","1017,6","1008,2","-","-","-"
"05/06/2024 - 12:00:00","1018,4","1009,0","1018,5","3","-"
"05/06/2024 - 13:00:00","1018,9","1009,5","-","-","-"
"05/06/2024 - 14:00:00","1018,8","1009,4","-","-","-"
"05/06/2024 - 15:00:00","1018,2","1008,8","1018,1","8","-"
"05/06/2024 - 16:00:00","1017,4","1008,0","-","-","-"
"05/06/2024 - 17:00:00","1016,3","1006,9","-","-","-"
"05/06/2024 - 18:00:00","1015,7","1006,3","1015,5","6","-"
"05/06/2024 - 19:00:00","1015,3","1005,9","-","-","-"
"05/06/2024 - 20:00:00","1015,3","1005,9","-","-","-"
"05/06/2024 - 21:00:00","1015,4","1006,0","1015,3","6","-"
"05/06/2024 - 22:00:00","1015,9","1006,5","-","-","-"
"06/06/2024 - 09:00:00","1016,0","1006,6","1015,8","1","-"
"06/06/2024 - 10:00:00","1016,6","1007,2","-","-","-"
"06/06/2024 - 11:00:00","1016,9","1007,5","-","-","-"
"06/06/2024 - 12:00:00","1017,4","1008,0","1017,2","2","-"
"06/06/2024 - 13:00:00","1017,9","1008,5","-","-","-"
"06/06/2024 - 14:00:00","1017,9","1008,5","-","-","-"
"06/06/2024 - 15:00:00","1017,9","1008,5","1017,7","1","-"
"06/06/2024 - 16:00:00","1017,1","1007,7","-","-","-"
"06/06/2024 - 17:00:00","1016,2","1006,8","-","-","-"
"06/06/2024 - 18:00:00","1015,8","1006,4","1015,5","7","-"
"06/06/2024 - 19:00:00","1015,5","1006,1","-","-","-"
"06/06/2024 - 20:00:00","1015,5","1006,1","-","-","-"
"06/06/2024 - 21:00:00","1015,6","1006,2","1015,4","3","-"
"06/06/2024 - 22:00:00","1015,9","1006,5","-","-","-"
"07/06/2024 - 09:00:00","1018,0","1008,6","1017,8","6","-"
"07/06/2024 - 10:00:00","1018,4","1009,0","-","-","-"
"07/06/2024 - 11:00:00","1018,8","1009,4","-","-","-"
"07/06/2024 - 12:00:00","1019,5","1010,1","1019,3","2","-"
"07/06/2024 - 13:00:00","1019,9","1010,5","-","-","-"
"07/06/2024 - 14:00:00","1019,9","1010,5","-","-","-"
"07/06/2024 - 15:00:00","1019,5","1010,1","1019,3","8","-"
"07/06/2024 - 16:00:00","1018,7","1009,3","-","-","-"
"07/06/2024 - 17:00:00","1017,9","1008,5","-","-","-"
"07/06/2024 - 18:00:00","1017,2","1007,8","1016,9","7","-"
"07/06/2024 - 19:00:00","1016,9","1007,5","-","-","-"
"07/06/2024 - 20:00:00","1016,9","1007,5","-","-","-"
"07/06/2024 - 21:00:00","1017,0","1007,6","1016,8","5","-"
"07/06/2024 - 22:00:00","1017,0","1007,6","-","-","-"
"08/06/2024 - 09:00:00","1017,0","1007,6","1016,8","3","-"
"08/06/2024 - 10:00:00","1017,0","1007,6","-","-","-"
"08/06/2024 - 11:00:00","1017,0","1007,6","-","-","-"
"08/06/2024 - 12:00:00","1017,4","1008,0","1017,2","3","-"
"08/06/2024 - 13:00:00","1017,5","1008,1","-","-","-"
"08/06/2024 - 14:00:00","1017,1","1007,7","-","-","-"
"08/06/2024 - 15:00:00","1016,3","1006,9","1016,0","7","-"
"08/06/2024 - 16:00:00","1015,4","1006,0","-","-","-"
"08/06/2024 - 17:00:00","1013,7","1004,4","-","-","-"
"08/06/2024 - 18:00:00","1012,8","1003,5","1012,6","7","-"
"08/06/2024 - 19:00:00","1012,5","1003,2","-","-","-"
"08/06/2024 - 20:00:00","1012,1","1002,8","-","-","-"
"08/06/2024 - 21:00:00","1011,5","1002,2","1011,3","7","-"
"08/06/2024 - 22:00:00","1011,3","1002,0","-","-","-"
"09/06/2024 - 09:00:00","1008,7","999,4","1008,5","7","-"
"09/06/2024 - 10:00:00","1008,0","998,7","-","-","-"
"09/06/2024 - 11:00:00","1008,5","999,2","-","-","-"
"09/06/2024 - 12:00:00","1008,1","998,8","1007,9","0","-"
"09/06/2024 - 13:00:00","1008,7","999,4","-","-","-"
"09/06/2024 - 14:00:00","1009,3","1000,0","-","-","-"
"09/06/2024 - 15:00:00","1009,1","999,8","1008,8","0","-"
"09/06/2024 - 16:00:00","1008,3","999,0","-","-","-"
"09/06/2024 - 17:00:00","1007,3","998,0","-","-","-"
"09/06/2024 - 18:00:00","1006,3","997,0","1006,0","7","-"
"09/06/2024 - 19:00:00","1006,2","996,9","-","-","-"
"09/06/2024 - 20:00:00","1006,7","997,4","-","-","-"
"09/06/2024 - 21:00:00","1007,2","997,9","1007,0","3","-"
"09/06/2024 - 22:00:00","1007,9","998,6","-","-","-"
"10/06/2024 - 09:00:00","1011,0","1001,7","1010,9","3","-"
"10/06/2024 - 10:00:00","1011,8","1002,5","-","-","-"
"10/06/2024 - 11:00:00","1012,3","1003,0","-","-","-"
"10/06/2024 - 12:00:00","1012,5","1003,2","1012,4","2","-"
"10/06/2024 - 13:00:00","1013,1","1003,8","-","-","-"
"10/06/2024 - 14:00:00","1013,5","1004,2","-","-","-"
"10/06/2024 - 15:00:00","1013,2","1003,9","1013,0","0","-"
"10/06/2024 - 16:00:00","1012,5","1003,2","-","-","-"
"10/06/2024 - 17:00:00","1012,3","1003,0","-","-","-"
"10/06/2024 - 18:00:00","1012,2","1002,9","1012,0","7","-"
"10/06/2024 - 19:00:00","1012,1","1002,8","-","-","-"
"10/06/2024 - 20:00:00","1012,3","1003,0","-","-","-"
"10/06/2024 - 21:00:00","1012,6","1003,3","1012,5","2","-"
"10/06/2024 - 22:00:00","1013,0","1003,7","-","-","-"
"11/06/2024 - 09:00:00","1013,9","1004,6","1013,8","-","-"
"11/06/2024 - 10:00:00","1014,5","1005,1","-","-","-"
"11/06/2024 - 11:00:00","1014,9","1005,5","-","-","-"
"11/06/2024 - 13:00:00","1016,1","1006,7","-","-","-"
"11/06/2024 - 14:00:00","1016,2","1006,8","-","-","-"
"11/06/2024 - 15:00:00","1015,6","1006,2","1015,4","0","-"
"11/06/2024 - 17:00:00","1013,8","1004,5","-","-","-"
"11/06/2024 - 18:00:00","1013,4","1004,1","1013,2","6","-"
"11/06/2024 - 19:00:00","1012,9","1003,6","-","-","-"
"11/06/2024 - 20:00:00","1012,9","1003,6","-","-","-"
"11/06/2024 - 21:00:00","1013,1","1003,8","1012,9","5","-"
"11/06/2024 - 22:00:00","1013,0","1003,7","-","-","-"
"12/06/2024 - 09:00:00","1012,5","1003,2","1012,3","7","-"
"12/06/2024 - 10:00:00","1012,5","1003,2","-","-","-"
"12/06/2024 - 13:00:00","1013,3","1004,0","-","-","-"
"12/06/2024 - 14:00:00","1013,6","1004,3","-","-","-"
"12/06/2024 - 15:00:00","1013,1","1003,8","1012,9","0","-"
"12/06/2024 - 16:00:00","1012,2","1002,9","-","-","-"
"12/06/2024 - 17:00:00","1011,1","1001,8","-","-","-"
"12/06/2024 - 18:00:00","1010,2","1000,9","1009,9","7","-"
"12/06/2024 - 19:00:00","1009,9","1000,6","-","-","-"
"12/06/2024 - 20:00:00","1010,0","1000,7","-","-","-"
"12/06/2024 - 21:00:00","1010,2","1000,9","1010,0","5","-"
"12/06/2024 - 22:00:00","1010,3","1001,0","-","-","-"
"13/06/2024 - 09:00:00","1007,0","997,7","1006,8","7","-"
"13/06/2024 - 10:00:00","1007,3","998,0","-","-","-"
"13/06/2024 - 11:00:00","1007,2","997,9","-","-","-"
"13/06/2024 - 12:00:00","1007,7","998,4","1007,5","3","-"
"13/06/2024 - 13:00:00","1007,9","998,6","-","-","-"
"13/06/2024 - 14:00:00","1007,5","998,2","-","-","-"
"13/06/2024 - 15:00:00","1006,4","997,1","1006,1","8","-"
"13/06/2024 - 16:00:00","1005,7","996,4","-","-","-"
"13/06/2024 - 17:00:00","1003,8","994,5","-","-","-"
"13/06/2024 - 18:00:00","1002,4","993,2","1002,2","7","-"
"13/06/2024 - 19:00:00","1001,2","992,0","-","-","-"
"13/06/2024 - 20:00:00","1000,5","991,3","-","-","-"
"13/06/2024 - 21:00:00","1001,1","991,9","1000,9","5","-"
"13/06/2024 - 22:00:00","1001,5","992,3","-","-","-"
"14/06/2024 - 09:00:00","1003,7","994,4","1003,3","3","-"
"14/06/2024 - 10:00:00","1004,1","994,8","-","-","-"
"14/06/2024 - 11:00:00","1004,5","995,2","-","-","-"
"14/06/2024 - 12:00:00","1005,2","995,9","1004,9","2","-"
"14/06/2024 - 13:00:00","1005,6","996,3","-","-","-"
"14/06/2024 - 14:00:00","1005,7","996,4","-","-","-"
"14/06/2024 - 15:00:00","1005,0","995,7","1004,7","0","-"
"14/06/2024 - 16:00:00","1004,6","995,3","-","-","-"
"14/06/2024 - 17:00:00","1004,0","994,7","-","-","-"
"14/06/2024 - 18:00:00","1003,5","994,2","1003,1","7","-"
"14/06/2024 - 19:00:00","1003,7","994,4","-","-","-"
"14/06/2024 - 20:00:00","1004,5","995,2","-","-","-"
"14/06/2024 - 21:00:00","1005,4","996,1","1005,1","2","-"
"14/06/2024 - 22:00:00","1006,2","996,9","-","-","-"
"15/06/2024 - 09:00:00","1011,6","1002,3","1011,4","2","-"
"15/06/2024 - 10:00:00","1012,0","1002,7","-","-","-"
"15/06/2024 - 11:00:00","1013,0","1003,7","-","-","-"
"15/06/2024 - 12:00:00","1014,2","1004,9","1014,1","2","-"
"15/06/2024 - 13:00:00","1014,6","1005,2","-","-","-"
"15/06/2024 - 14:00:00","1015,0","1005,6","-","-","-"
"15/06/2024 - 15:00:00","1014,9","1005,5","1014,6","0","-"
"15/06/2024 - 16:00:00","1013,9","1004,6","-","-","-"
"15/06/2024 - 17:00:00","1013,7","1004,4","-","-","-"
"15/06/2024 - 18:00:00","1013,3","1004,0","1013,1","7","-"
"15/06/2024 - 19:00:00","1013,2","1003,9","-","-","-"
"15/06/2024 - 20:00:00","1013,5","1004,2","-","-","-"
"15/06/2024 - 21:00:00","1013,8","1004,5","1013,6","3","-"
"15/06/2024 - 22:00:00","1014,2","1004,9","-","-","-"
"16/06/2024 - 09:00:00","1013,0","1003,7","1012,9","0","-"
"16/06/2024 - 09:08:00","1012,6","1003,3","-","-","-"
"16/06/2024 - 09:32:00","1013,2","1003,9","-","-","-"
"16/06/2024 - 10:00:00","1013,4","1004,1","-","-","-"
"16/06/2024 - 11:00:00","1014,0","1004,7","-","-","-"
"16/06/2024 - 12:00:00","1013,6","1004,3","1013,5","0","-"
"16/06/2024 - 13:00:00","1014,0","1004,7","-","-","-"
"16/06/2024 - 14:00:00","1014,4","1005,0","-","-","-"
"16/06/2024 - 15:00:00","1014,6","1005,2","1014,4","2","-"
"16/06/2024 - 16:00:00","1014,0","1004,7","-","-","-"
"16/06/2024 - 17:00:00","1013,0","1003,7","-","-","-"
"16/06/2024 - 18:00:00","1012,6","1003,3","1012,5","7","-"
"16/06/2024 - 19:00:00","1012,3","1003,0","-","-","-"
